,id,title,author,genre,tag,platform,age,rate,complete,free,website
0,0,아기가 생겼어요 [연재],"강기, 이정",로맨스,#로맨스#소설원작#연애#결혼#원나잇,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/i_have_a_baby
1,1,아가씨와 우렁총각,제이드,로맨스,#드라마#살림남#연애#능력녀#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/snail
2,2,LOVE WINS,목도리,백합,#결혼#로맨스#드라마#백합,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/lovewins
3,3,폐하의 무릎 위 [연재],"은랑호, 이미란, 유소이",로맨스,#로맨스,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/above_the_knee
4,4,오타쿠에게 사랑은 어려워,후지타,로맨스,#덕후#오피스#사내연애#개그#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/otakoi
5,5,속도위반 대표님과 계약 아내 [연재],"kkworld, shibuciyuan, flower",로맨스,#로맨스#계약관계#결혼#재벌#달달물,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/contract_wife
6,6,대표님의 삐뚤어진 사랑 [연재],"Hongshu, Rose Studio, Nianhuarexiao",로맨스,#로맨스#현대물#계약관계#집착#재벌,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/ceos_crooked_love
7,7,말할 수 없는 남매,윌로우,로맨스,#걸크러쉬#고등학교#코믹#비밀#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/my_secret_brother
8,8,메리 고 라운드,나솔,로맨스,#학원#고등학교#우정#걸크러쉬#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/merry_go_round
9,9,천사의 용도,공사,로맨스,#얼굴천재#판타지#악마#천사#로맨스,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/angelsuse
10,10,연필의 각도,홍자,로맨스,#동아리#잔잔물#드라마#학원#성장물,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/pencil
