,keyword
0,"['희원', '가상', '덜컥', '설상', '이자']"
1,"['지호', '결혼식', '과정', '덩어리', '도주']"
2,"['우해', '거짓말', '대학가', '때문', '언니']"
3,"['독자', '동성혼', '레진', '여자', '웃기']"
4,"['거짓말', '남매', '반한', '사고', '전학']"
5,"['자신', '복수', '악마', '위해', '친구']"
6,"['전학', '미인', '방식', '남자친구', '머리']"
7,"['그때', '라운드', '메리', '시절', '너희']"
8,"['관계', '나라', '수집', '얼마', '정도']"
9,"['시작', '우리', '로맨스', '모두', '사이']"
10,"['납치', '세기', '소환', '순간', '악마']"
11,"['연필', '가득', '미술', '선생님', '소리']"
12,"['기억', '로맨스', '무시', '진성', '하의']"
13,"['뮤지컬', '소영은', '배우', '영상', '매체']"
14,"['아리엘', '무시', '첫날', '버럭', '소리']"
15,"['아파트', '연애', '그녀', '난입', '수가']"
16,"['소개팅', '대학병원', '선일', '동료', '난생']"
17,"['교양', '남학생', '대학교', '신청', '악연']"
18,"['드라마', '기억', '대전', '명문', '배경']"
19,"['스트', '독자', '방송', '시집', '여중생']"
20,"['연애', '광고지', '성관계', '고민', '대학생']"
21,"['아이', '관심', '그녀', '눈길', '가의']"
22,"['아이', '자신', '데뷔', '민아', '소설']"
23,"['대리', '대신', '대역', '연기', '요양']"
24,"['과거', '사람', '시아', '유저', '인연']"
25,"['누구', '로맨스', '백합', '스푼', '아리']"
26,"['우현', '다른', '모든', '반응', '사실']"
27,"['사망', '플래그', '사제', '세계', '악당']"
28,"['그녀', '선택', '동경', '소하', '선배']"
29,"['구한', '로부터', '단골', '도적', '손님']"
30,"['부탁', '이용', '참고', '여자', '보이']"
31,"['백설', '명실', '상부', '경영학', '입학']"
32,"['갑자기', '사이', '조금', '호의', '홀로']"
33,"['그녀', '그때', '모든', '목격', '가족']"
34,"['마음', '유우', '토우', '고백', '고민']"
35,"['의존', '듯이', '선생님', '온기', '접촉']"
36,"['결혼식', '배신', '보고', '사람', '약혼자']"
37,"['사람', '마을', '사의', '거슬러', '모든']"
38,"['작가', '미스', '세계', '이브', '정체']"
39,"['그녀', '남자', '구애', '때문', '자존심']"
40,"['가요', '농락', '직원', '간다', '부하']"
41,"['구해', '귀족', '라이', '세상', '작가']"
42,"['개강', '신입생', '취해', '파티', '동아리']"
43,"['마음', '소꿉친구', '시호', '유치원', '율과']"
44,"['사나', '감옥', '사형', '이사나', '이후']"
45,"['황제', '그녀', '로맨스', '판타지', '소녀']"
46,"['성은', '이름', '글자', '동기', '수업']"
47,"['회사', '결혼', '다른', '여자', '출세']"
48,"['연우', '첫사랑', '아저씨', '무리', '사람']"
49,"['타로', '낙제', '심지어', '쌍둥이', '제자']"
50,"['계기', '눈앞', '소우', '요리', '동경']"
51,"['자신', '주인', '죽음', '위해', '유전병']"
52,"['마님', '실수', '성격', '연발', '메이드']"
53,"['동기', '동시', '마스코트', '본능', '사업']"
54,"['한순간', '겉보기', '그녀', '마이너', '메이저']"
55,"['수영', '재능', '인생', '보이', '재미']"
56,"['비밀', '공주', '누가', '누구', '수고']"
57,"['유미', '사랑', '생명', '구해', '그녀']"
58,"['무일푼', '이혼', '전업', '동거', '사람']"
59,"['가면', '나선', '도깨비', '세계', '소꿉친구']"
60,"['무대', '거부', '배신', '그린', '로맨스']"
61,"['고백', '양양', '짝사랑', '사람', '연극']"
62,"['남자', '하룻밤', '대학', '도헌', '방문']"
63,"['경호', '동안', '상처', '성인', '일부']"
64,"['귀족', '메이드', '주위', '거절', '도련님']"
65,"['그림', '사람', '사랑', '순정', '만난']"
66,"['세계', '원래', '지옥', '천국', '한번']"
67,"['남자에게', '옆집', '사이', '마음', '실력']"
68,"['무미', '여자', '그녀', '눈앞', '등장']"
69,"['아연', '가르침', '마음가짐', '교실', '마리아']"
70,"['연호', '대한', '상처', '반복', '반항']"
