,keyword
0,"['독고', '세계', '과거', '심상', '모든', '영고', '제안', '주먹', '주장', '타협']"
1,"['마리', '토끼', '간다', '머리', '이제', '체력', '가의', '다만', '당한', '대학생']"
2,"['무인', '로부터', '사람', '최고', '포기', '과연', '주변', '마을', '습격', '자신']"
3,"['모험', '인간', '감행', '가장', '산악', '가출', '레드', '몰래', '무단', '변환']"
4,"['스텔라', '리프', '성녀', '목소리', '신성', '제국', '당신', '갈가리', '기회', '어찌']"
5,"['오도', '졸업', '마법사', '계속', '낙제', '두뇌', '밀러', '불운', '아카데미', '의지']"
6,"['가문', '인생', '피렌', '가주', '거기', '막대', '문화', '일가', '티아', '당첨']"
7,"['묵향', '판타지', '무협소설', '문학', '한국', '시작', '독자', '드래곤', '엘프', '원래']"
8,"['황태자', '나라', '용이', '용의', '모습', '로고', '버스', '데이', '디자인', '만화가']"
9,"['아기', '고양이', '해골', '서비스', '인간계', '대행', '연결', '옆집', '설상', '울음소리']"
10,"['그나', '마법사', '클래스', '제국', '마법', '문턱', '배신', '시간', '심장', '이자']"
11,"['오드', '테리', '티나', '괴물', '애완동물', '대공', '아버지', '전생', '형상', '간다']"
12,"['무협지', '부잣집', '악당', '최고', '무공', '빠빠', '아빠', '위해', '튀어', '어서']"
13,"['아버지', '공작', '그냥', '대신', '부자', '주지', '거래', '유일', '제국', '아이']"
14,"['반복', '자신', '다만', '끝내', '싸움', '적국', '영문', '온기', '주인공', '한쪽']"
15,"['눈물', '원작', '똥차', '여주', '개뿔', '안고', '여자', '다른', '이안', '이자']"
16,"['산수화', '아들', '동네', '무공', '살이', '스무', '각성', '놀림', '보라', '부모']"
17,"['위해', '대통령', '건달', '목숨', '목포', '사랑', '의리', '정춘택', '친구', '여인']"
18,"['범죄자', '악한', '정말', '처벌', '마음', '손수', '처리', '륜건', '생각', '지은']"
19,"['미카엘', '황실', '루스', '감옥', '공중', '괴물', '다시', '위해', '이자', '그녀']"
20,"['남자', '원작', '가족', '아가씨', '로이', '도련님', '주인공', '블레', '케미', '블레아']"
21,"['생각', '가족', '소설', '계모', '남자', '실천', '우마', '주인공', '프로젝트', '행복']"
22,"['레벨', '각성', '게이트', '누가', '누구', '인생', '토리', '플레이어', '해도', '나이']"
23,"['레이크', '열등생', '프레이', '대마도', '아카데미', '가문', '로드', '선택', '영혼', '웨스트']"
24,"['드라마', '병맛', '누구', '다섯', '매력', '액션', '주인공', '코미디', '툰즈', '과연']"
25,"['수련', '발견', '갖은', '경쟁', '소각', '수모', '제자', '종파', '주의', '지상']"
26,"['아비', '새끼', '여기', '간다', '사이', '목숨', '사방', '시작', '억지로', '임무']"
27,"['악당', '미화원', '조직', '너희', '목표', '솜방망이', '여동생', '청소', '달성', '사회']"
28,"['서원', '학사', '소설', '웹툰', '유현', '인기', '작가', '귀환', '개성', '명의']"
29,"['생명', '거리', '병기', '지배', '사리', '등장', '어시', '영웅', '이기', '고난']"
30,"['영웅', '귀환', '만렙', '골방', '데이', '천년', '회랑', '도착', '동안', '영혼']"
31,"['도굴', '무덤', '능력', '사람', '신의', '영웅', '유물', '의문', '출몰', '현대']"
32,"['무협', '대작', '시작', '지금', '지평', '환상', '전의', '괴이', '괴하', '삼백']"
33,"['그냥', '비위', '아기', '인척', '오늘', '피곤', '대법', '마도', '왕국', '제국']"
34,"['그녀', '남동생', '말로', '사치', '최후', '가장', '남편', '다운', '미치광이', '악역']"
35,"['범의', '프로그램', '모습', '점점', '변화', '술집', '겹치', '기억', '시작', '누군가']"
36,"['악녀', '그대', '대공', '드릭', '그녀', '황제', '아르', '인물', '상황', '당신']"
37,"['라지', '소환', '대행', '로드', '첫째', '가지', '그대로', '동시', '둘째', '라가']"
38,"['영웅', '선수', '프로야구', '기회', '동료', '산들', '스타', '가로막', '감독', '상황']"
39,"['결혼', '구원', '능력', '쌍방', '약간', '지향', '로맨스', '연애', '정통', '착각']"
40,"['마야', '만두', '머리', '전학', '고로', '동안', '생활고', '위해', '접근', '주머니']"
41,"['주원', '기운', '용의', '세자', '수련', '다시', '숙명', '왕국', '과연', '나라']"
42,"['기사', '그녀', '자신', '행복', '기억', '아무', '클라렌스', '평민', '과묵', '마법사']"
43,"['명의', '감전', '나니', '비서', '성창', '재벌', '꼴통', '다시', '세상', '아들']"
44,"['샤샤', '레베카', '악녀', '무기', '황태자', '애완동물', '원작', '파멸', '호의', '예정']"
45,"['메이즈', '남자친구', '만난', '사랑', '여자', '온갖', '이별', '남편', '마왕', '슈크르']"
46,"['아들', '공작', '과잉', '자의식', '결혼', '정성', '성덕', '아버님', '여주', '착각']"
