,title,author,genre,story,platform
0,악녀의 정의,"윤쓰(REDICE STUDIO),민(REDICE STUDIO),주해온",로판,"“난 이미 내 황후를 정했고, 넌 구색 맞추기일 뿐이야.”
“바로 내가 제국의 황후가 될 거예요.”

가장 친한 친구에게 남자친구를 뺏긴 날, 
나는 실수로 한강에 빠지고 말았다.
그리고 눈떠 보니 악녀로 이름난 공작영애 
샤르티아나 알티제 카일론이 되어 있었다!

알고 보니 이 샤르티아나 영애,
황태자를 그 연인에게서 가로채려 했다고 한다.
그런 악녀 따위는 절대로 되지 않을 거라고 다짐하고 싶지만…… 
차기 황후 후보, ‘레지나’로 간택되는 순간 내 운명도 결정되었다.

레지나 후보는 둘, 나 샤르티아나와 황태자의 연인 아이린.
모략이 휘몰아치는 궁정에서 사랑하는 가족을 지키기 위해
철저한 악녀가 되어 황후의 자리를 쟁취할 수밖에 없다.
그런데 현실을 받아들이기로 결심한 순간, 
차갑기만 했던 황태자 레오프리드가 다른 얼굴을 보이기 시작한다.
그리고 아이린과의 관계에도 무언가 비밀이……?

사랑하는 사람들과 행복해지기 위해, 나는 희대의 악녀가 된다.

달콤살벌한 궁중 로맨스의 새로운 정의!

***********************************************************

소설에서 풀지 못했던 못 다한 이야기가
지금 여기에서 펼쳐집니다!


[로고 및 표지 디자인] 디자인 그룹 헌드레드

**********************************************************
웹툰 [악녀의 정의]는 매주 일요일, 주1회 연재됩니다.",카카오페이지
1,"그 여름, 나는 [완결]","김수연,최수현",로맨스,"‘너...  나 누군지 기억해...?’

‘...응, 반...장이잖아.’


고교 졸업 이후 헤어진 남녀가 서로를 생각하며 그리워한 지 9년···
그들의 운명(?)적인 재회가 시작된다!

인기소설 <그 여름, 나는>이 만화로!?
'김수연 작가’가 이끌어가는 제희와 재이의 코믹하고도 심쿵해지는 사랑이야기!

소설에서 보지 못한 꿀잼이 여기 있다!!",카카오페이지
2,버림 받은 황비,"인아,정유나",로판,"천년 역사를 자랑하는 카스티나 제국.
모니크 후작가의 외동딸, 아리스티아 라 모니크는
신탁에 의해 예비 황후로 성장한다.
그러나 그녀에게 찾아온 이변!

어느 날, 황궁 호수에 신비한 소녀가 나타나고
그녀가 황후로 추대된다.
결국 아리스티아는 '황후'가 아닌 
'황비'로 궁에 들어가게 되는데….

하지만 아리스티아가 간절히 원했던 건
황후 자리도, 권력도 아닌
오직 황제의 사랑뿐!
그러나……

""죄인 아리스티아 라 모니크는
황족 시해 미수 등의 모든 죄를 물어 참수형에 처한다!""

""나는 그저 당신을 사랑한 죄밖에 없는데…!""

차갑게 외면당하고 짓밟힌 채
형장의 이슬로 사라진 비운의 여인.
운명은 그녀에게 또 한 번의 삶을 부여한다!

""너희 인간에게 주어진 피할 수 없는 결정,
그것이 운명이다.""

열 살로 회귀한 아리스티아.
다시 찾은 아버지의 사랑,
그리고 새로이 시작되는 인연….

""어느 것이 꿈이고, 어느 것이 현실인가.
나의 운명은 다시 반복되는가.""

**********************************************

<항아,리> <롤랑 수도원 사건일지>의 인아 작가와
회귀물의 여왕 정유나 작가가 선사하는
노블코믹의 완성판 <버림 받은 황비>! 
많은 사랑 부탁드립니다!


[로고 및 표지 디자인] 디자인그룹 헌드레드


************************************************


만화 [버림 받은 황비]는 매주 화요일, 주1회 연재됩니다.",카카오페이지
3,그녀가 공작저로 가야 했던 사정,"고래,밀차",로판,"의문의 사망 이후, 소설 속으로 빙의하게 된 재수생 박은하.
하지만 그녀가 빙의한 인물은 주인공도 아닌 약혼자에게 독살당해 죽는 엑스트라, 레리아나 맥밀런?!

그녀가 살아남을 유일한 길은 약혼자와의 파혼뿐!
레리아나(=박은하)는 소설 남주, 노아 윈나이트에게 계약 약혼을 청하게 되는데…….

“단 6개월만 약혼자 흉내를 내주신다면 그 후에는, 공작님 인생에서 깨끗이 사라져 드리죠.”
“좋아. 대신 내가 필요할 때에는 꼭 내 약혼녀로서의 역할을 해내 줘야겠어.”

그러나 노아 이 자식…….
천사 같은 얼굴 뒤에 까만 속내를 감춘 악마보다 더한 놈이었다?!

그녀는 죽음의 운명에서 벗어날 수 있을까?
냉혈 공작, 노아 윈나이트 X 당찬 빙의녀, 레리아나 맥밀런의 파란만장 로맨스 판타지!


[로고 디자인] 디자인그룹 헌드레드",카카오페이지
4,비 내리는 밤,"이상은,최수현",로맨스,"아버지의 죽음을 계기로 갈 곳이 사라진 여원은 재혼한 어머니의 손에 이끌려 의붓아버지인 박 의원의 집에서 살게 된다. 
무조건적인 희생을 강요하는 어머니와 자신의 성을 물려주지 않은 의붓아버지 밑에서 집안의 미운 오리 새끼로 살아온 여원은 염치가 있으면 집안에 보탬이 되라는 새언니의 말에 떠밀려 선을 보게 된다. 약속 당일, 네 시간이 지나서야 그녀 앞에 나타난 사람은 누가 봐도 완벽한 남자, 서유인. 유인과 대화하며 물 흐르듯 시간이 가는 기분을 느낀 원은 유인에게 자신과 ‘앞으로 세 번 정도, 더 진지하게 만날 생각 있냐’고 제안하는데….
*원작 : 최수현 [웹소설]비 내리는 밤",카카오페이지
5,그림자 황비,"킨립,하율",로판,"""내 딸이 되어줄 수 있겠느냐?""

프란체 대공의 제안으로 가짜 딸이 된 엘레나. 
황비가 되어 황태자의 아들을 낳고 입지를 다지는데,
죽은 줄 알았던 베로니카 공녀가 눈앞에 나타난다.

그녀는 인형에 불과했다
결국 엘레나는 아이를 빼앗기고 죽임을 당하는데…….

그런데,
다시 과거로 돌아왔다.

""당신들 다 부숴버리겠어.""

다시는 인형으로 살지 않으리라
엘레나는 복수를 결심했다.",카카오페이지
6,101번째 여주인공,"STUDIO D,메나닉",로판,"다시 태어난 세계에서 황태자비를 투표로 뽑는다지만,
난 지극히 평범한 엑스트라일 테니까 나와는 상관 없어.
……그런데 왜 내가, 황태자비 후보가 된 걸까?

“황태자비 선거전, 101번째 황태자비 후보, 이비 콜린스입니다.”

황태자비 선거전과 101명의 후보
당신의 ㉦한 표㉦를 행사하세요!

101명의 황태자비 후보 중, 모두의 사랑을 받아 선거에서 뽑히는 황태자비는 누구?!

*원작 : 메나닉 [웹소설]101번째 여주인공",카카오페이지
7,군림단주,"박충식,일륜",액션무협,"첫째, 영광스러운 순간에만 군림단의 이름을 입에 올려야 한다. 첫째, 임무는 직속 선임의 재량으로 선택된다. 첫째, 모든 군림 단원의 목표는 군림 단주다. 그것으로 갓 군림단에 들어온 용연의 목표가 정해졌다. 바로 군림 단주!",카카오페이지
8,겨울 지나 벚꽃,밤우,BL/GL,"""해봄이랑 형제 되기 싫다고!"" 

사고로 부모를 잃은 해봄은, 소꿉친구 태성의 집에서 살게 된다.
하지만 친했던 태성의 모진말을 들은 해봄은 태성이 자기를 싫어한다 생각하고 멀리하는데..
그렇게 어색한 사이로, 고등학교 3학년이 된 해봄과 태성. 
같은 집에서의 마지막 봄, 두 사람의 관계는 변할 수 있을까?",카카오페이지
9,도장을 찍어주세요,다래,로맨스,"자수성가 CEO가 되어 백세인생 해피 싱글라이프가 목표인
22살 대학생 ‘지아’.

“재벌가 손자랑 우리 지아랑 맞선 보기로 했어^^”
“아빠!! 대체 무슨 말씀이에요!!”

반드시 거절하겠어! 라고 맘먹고 나간 맞선 자리.
맞선남은… 같은 과 존잘 선배, ‘연후’?!
거기에 또 다른 재벌집 손자 ’승호’가 난입?!

결국 셋이서 한 집에 동거하며 최종 신랑감을 고르기로 한다

그러던 어느 날, 자신의 결혼식 꿈을 꾼 지아!
아아아, 신랑의 얼굴이… 얼굴이… 흐릿해!!!

과연 꿈속 운명의 신랑감은 누구?!!
내 사랑, <도장을 찍어주세요>",카카오페이지
