,title,author,genre,story,platform
0,독고3 [완전판],"민(Meen),백승훈",소년,"[독고3]
모든 일에 의욕을 잃고 표류하던 태진은 과거 당영고 씨름부 주장이었던 심상윤으로부터
영입 제안을 받게 되고 결국 현실과 타협하고 주먹의 세계에 몸을 담게 된다.
그리고 그 세계에 적응해나가면서 점차 나락으로 떨어짐을 느끼게 되는데...
독고 시리즈 중 가장 처절한 이야기가 펼쳐진다.",카카오페이지
1,뒤끝작렬,"조석호,안정혁",드라마,"“야, 착각하지마. 난 한번도 널 동생으로 생각한 적 없어. 주제를 모르고”
가슴을 파고드는 비수였다. 
한명우.
명석한 두뇌와 재벌가의 자식이었다.
다만 하늘은 모든 걸 주지않았다.
불치병 수준인 선천적 심장병.
이를 악물고 인정받기 위해 최선 또 최선을 다했다. 
그러나 아버지인 회장을 비롯해 식구 그 누구도 진심으로 대하지 않았다. 

그러던 그가 급작스런 사고를 당했다.
그리고......
치명적인 부상을 당한 대학생 김철민의 몸으로 들어갔다.
 
건강하다.
아니 건강하다못해 넘친다.
잘돌아가는 머리에 체력까지.......

이제 두 마리 토끼를 잡으러 간다.
꼭 두 마리 토끼여야 했다.",카카오페이지
2,화산권마,"진선규,우각",액션무협,"자신의 마을이 습격받고 유일하게 살아남은 담호, 하지만 담호는 절름발이다. 무인으로서 최악의 조건이지만 담호는 수련을 멈추지 않는다. 주변 사람들로부터 무인이 될 수 없다고 듣지만 끝까지 포기하지 않는 담호, 과연 그는 최고의 무인이 될 수 있을 것인가?",카카오페이지
3,카르세아린,"유중관,차우민,임경배",소년,"최초의 무단가출 드래곤 아린의 
좌충우돌 인간계 모험기!!! 
 
대륙 중앙을 차지하는 거대한 산악지대

라르테아드 산맥에는 드래곤 중 가장 성질이 더럽다는

레드 드래곤 일족이 살고 있었는데... 

평소 인간 용사의 모험을 동경하던 300살의 어린(?) 해츨링

레드 드래곤 '카르세아린'은 유일하게 알고 있는 형태 변환 마법인 

'폴리모프'를 이용해 인간으로 변신하여 



일족 몰래 무단 가출을 감행하게 된다.
 

인간이 된 아린은 용사가 되기는커녕

오크에게 쫓기고,

노예로 팔리기도 하고,

공주가 되어보기도 하면서

인간의 몸으로 험난한 모험을 시작하는데!",카카오페이지
4,지독한 릴리,"헤모,은록",로판,"시리프 신성 제국의 성녀, 릴리 스텔라.
그녀는 누구도 감히 올려다볼 수 없는 성스러운 존재였다.
하지만 어느 날부턴가 신의 목소리가 들리지 않더니, 시리프 신성 제국을 멸망으로 이끌어 버렸다.
적의 손에 의해 우물에 던져진 릴리 스텔라는 태어나서 처음으로 온 힘을 다해
평생 모셔온 시리프 신에게 저주를 퍼붓는다.

“시리프. 아직 내 목소리를 듣고 있다면, 다시 기회를 줘.
하지만 나를 이대로 죽여 당신 품에 가둔다면, 난…….”

“난 너를 산 채로 갈가리 찢어 삼킬 거야.”

눈을 떠보니 어찌 된 영문인지 릴리 스텔라는 17년 전, 6살 어린아이로 돌아와 있었다.
그리고 한없이 순백했던 릴리 스텔라는 전생의 성녀였던 자신을 버리고
오로지 자신만을 위해 한없이 지독해지기로 한다.",카카오페이지
5,책 먹는 마법사,"크루 이스트우드,메켄로",소년,"“…학생, 자네가 지금 몇 서클이지?”

3년째 아카데미를 졸업하지 못하고 있는 낙제생, 테오도르 밀러.
명석한 두뇌와 의지만으로는 재능이란 벽을 뛰어넘어 수 없었고,
마법사가 될 수 없는 불운한 현실은 계속 되었다.

그렇게 절망과 한숨의 나날 끝에 새로운 전환 점이 찾아오게 되는데...

탐욕스럽게 지식을 탐닉하고 주인의 힘으로 만들어주는 탐욕의 마도서, 
'글러트니'가 테오도르의 손에 깃들게 되었다.

어느 책이든 손만 뻗으면 그 속의 어떤 마법이라도 그의 것이 된다.
이제 수석 졸업은 따놓은 당상! 아니, 세계 정복도 시간문제?!

“그래, 전부 다 먹어 치워주마!”

노력과 근성만으로는 안 된다고? 그게 아니라 다 때가 있는 법!
순도 99% 노력파 마법사에게 '살짝 귀찮은' 1%의 기연이 찾아왔다!",카카오페이지
6,이번 생은 가주가 되겠습니다,"앤트스튜디오,몬, 앤트스튜디오,김로아",로판,"“…한번 해 보자. 내가 가주가 되는 거야.”

제국에서 제일가는 가문, 롬바르디의 사생아로 환생한 피렌티아.
게다가 이 가문은 막대한 부는 물론 외교와 문화까지 통달한
말그대로 제국의 역사 자체!

금수저 오브 금수저 인생 당첨!
앞으로는 탄탄대로일 거라 생각했는데….
아버지는 돌아가시고, 친척들은 문전박대,
거기다 그 잘나가던 가문까지 쫄딱 망해 버릴 줄이야!!

분통을 터트리며 술을 조금(?) 많이 마시며 돌아가는 길,
마차에 치여버리기까지!

“이건 해도 해도 너무하잖아….”

하지만 원망도 잠시, 눈을 뜨니 일곱 살로 돌아왔다?!
사랑하는 아버지를 다시 보는 것도 믿기지 않는데,
내가 아버지와 가문을 살릴 수도 있다고?

거기다 회귀 전 가문의 원수,
2황자가 대형견마냥 졸졸 쫓아다니기까지?!

좋아, 이렇게 된 거 2황자도 가문도 다 내 거다!

환생에 회귀까지, 인생 3회차 피렌티아의 가주되기 프로젝트!

**************************

[표지 및 타이틀 로고 디자인] 조정원

**************************

웹툰 [이번 생은 가주가 되겠습니다]는 매주 월요일, 주1회 연재됩니다.",카카오페이지
7,묵향 다크레이디,"이재헌,구깃,전동조",소년,"마교의 교주로서 극강의 무공을 자랑하던 묵향은 적들(혈교)에 의해 생전 처음 보는 생소한 이세계(판타지 세계)로 떨어지게 된다. 그곳에서 엘프, 마법사, 기사, 드래곤 등 새로운 존재들과 만나며... 무림 최고수 묵향이 원래 자신의 세상(무림)으로 돌아가기 위해 긴 모험을 떠나게 된다는 스토리.

한국의 무협소설과 판타지 문학을 사랑하는 수많은 독자들이 기다려왔던 초대형 이벤트― 웹툰계를 뒤흔들 다시없을 프로젝트가 시작된다! 
1999년부터 시작된 전설, 누계부수 300만부... 무협소설과 판타지문학을 접목시킨 기념비적인 장르소설인 [묵향]이 드디어 만화화!! 

한국 무협판타지의 한 획을 그었던 전동조 작가의 메가히트 장르소설 [묵향]을 만화화! 만화의 내용은 원작의 2부격인 [다크레이디] 편에서부터 시작한다.",카카오페이지
8,용이 비를 내리는 나라,썸머,BL/GL,"'용을 깨우는 나라는 태평성대를 누린다.'

국토의 반이 사막인 제국 라한. 
이곳 세계에서는 용이 출현한 나라가 부흥한다는 오랜 전설이 있다. 
그러나 거의 몇 백 년 전을 마지막으로 제국에서는 용이 나타나지 않았다. 

그러던 중 라한에서 용의 부화 조짐이 보이고,
야심가인 황태자는 용의 부화 소식에 누구보다 기뻐한다. 

그러나 그가 대면한 용은 아직 이지 능력도 없는 미성숙한 어린아이의 모습!
용의 성장할 때까지 기다려야 한다는 신관의 간언에 
황태자는 용의 부화 사실을 함구하라 명하고 황궁의 궁 깊숙한 곳에 용을 숨긴다. 

그리고 용의 축일 전야. 
늦은 밤, 황궁에서 일하는 스우는 
태자의 말이 있는 축사에서 정체불명의 어린 소년과 만나는데…!

어린 아이의 모습으로 태어난 용과 
나단과 함께 라한을 떠나고 싶은 소년 스우, 그리고 황태자. 
아름다운 동양의 나라에서 이들이 엮어내는 사랑과 집착의 론도.
************************************************
<소라의 눈>, <해피 버스 데이> 등 인기 만화가 썸머의 최신작!


[로고 및 표지 디자인] 디자인그룹 헌드레드

************************************************

웹툰 [용이 비를 내리는 나라]는 매주 월요일, 주1회 연재됩니다.",카카오페이지
9,환골탈태,마고(mago),드라마,"부드러운 살가죽, 짧고 까칠한 털, 작고 조그만 발....

이 해괴하고 귀여운 생물체는 대체 무엇?!

해골(스켈레톤)은 독립하면서 아기 고양이를 기르기로 한다.

드디어 이사 날에 인간계 대행 서비스를 이용해 받은 아기 고양이!
그런데 몸에 털도 별로 없고... 아기 고양이가 원래 이렇게 생겼었나?

인간계 대행 서비스 센터는 연결이 되지 않고,
졸지에 돌연변이 아기 고양이를 떠맡은 해골!

설상가상 아기 고양이의 울음소리에 옆집에서 항의가 쏟아지는데....

아기 고양이... 키울 수 있을까?!

마계에서 벌어지는 해골과 악마 아담, 서큐버스 릴리의 좌충우돌 아기 고양이 
육아 대작전이 시작합니다!",카카오페이지
10,8클래스 마법사의 회귀,"테스,류송",소년,"황제 라그나르와 통일 제국을 위해 손에 피를 묻히길 수십 년.
나는 고향으로 돌아가 속죄하며 죽은 듯이 살고자 했다.

그러나,

“자네는 언제든지 나를, 나의 제국을 집어삼킬 수 있는 8클래스의 대마법사.”
“그런 괴물을 어찌 살려둘 수가 있겠나?”

친구이자 주군이었던 라그나르에게 배신당하고 죽음의 문턱을 넘기 직전,
시간 마법의 주문이 새겨진 단검을 심장에 찔러 넣었다.

‘내가 원했던 참회란, 모든 것을 되돌려놓는 것.’


인류 최초의 8클래스 마법사 이안 페이지.
그가 30년 전 과거로 돌아왔다.",카카오페이지
11,그녀와 야수,"홍슬,마지노선",로판,"제국의 시조였던 전설적인 인물 마티나의 죽음으로부터 백 년 후,
마티나는 귀족가의 일개 여식인 아스티나로 환생한다.

전생과 다른 평화로운 일상은 잠시,
아버지의 파산으로 인해 아스티나는
야수의 형상을 한 테리오드 대공에게로 팔려 간다.

“급소를 쳐서 기절시켰어요.”
“기…… 절시키셨다고요?”

하룻밤에 죽어 나갈 것이라는 모두의 예상과 달리
그녀는 화려한 검술로 괴물 테리오드를 제압해
애완동물로 길들이기 시작한다.

“테오, 앉아.”
“컹!”

달빛이 아름다운 어느 밤,
자신을 잘 따르는 테리오드가 기특해
아스티나는 그에게 짧게 입을 맞춰 주는데……

“……테오?”

아스티나의 애완동물이……
사람이 됐다?

결핍된 괴물 남편과 무심한 아내의 본격 조련 로맨스!

==============================

[표지 및 타이틀 로고 디자인] 송가희",카카오페이지
12,무협지 최고 악당의 귀한 딸입니다,"다우,쌀국수,솔땀",로판,"부잣집 딸로 환생한 줄 알았건만, 무협지 최고 악당의 딸로 태어났다?!
무관심한 아빠, 결국 날 죽이는 오빠,
살아남기 위해선 어서 무공을 익혀 튀어야 하는데...!
이 두 빠빠... 왜 자꾸 날 귀여워하는겨?!",카카오페이지
13,나는 이 집 아이,"코튼,시야",로판,"전생의 기억이 좀 있다는 것만 빼면 평범한(?) 사생아로서 시간을 보내왔다.
그러던 어느 날, 창녀인 어머니가 열한 살이 된 나를 아버지 앞으로 데리고 갔다.

“1만 골드를 줘요.”
“2만 골드를 주지. 대신 이것에서 손 떼.”

차가운 거래에 움츠러들어 있는데 그냥 부자인 줄 알았던 아버지가, 알고 보니 제국 유일의 공작이란다.

이제 난 어떻게 되는 걸까?
내가 정말 이 집 아이일까?",카카오페이지
14,아도니스,"구당,결정,혜돌이,팀 아도니스",로판,"자신과 누구보다 닮았던 자, 그래서 서로에게만 집중했고 광적으로 집착했다.
다만 한쪽은 상대의 온기를, 한쪽은 완전히 꺾기를 원한 아르하드와 이아나.
주인공 이아나는 적국의 황제가 된 아르하드와의 싸움에서 삶을 미련 없이 끝내지만,
영문도 모른 채, 다시 되살아나 자신이 살아왔던 삶을 반복하게 된다.
전생에서 파국을 맞이하게 된 두 사람은, 새로운 생에서도 또다시 만나게 되고, 비극을 반복하게 되는 것일까….",카카오페이지
15,그 악녀를 조심하세요!,"열매,푸른칸나,뽕따맛스크류바",로판,"소설 속 희대의 악녀에 빙의했다! 싫냐고? 아니? 좋은데?
공작영애 = 돈 많은 백수인 것을 내가 마다할 리가! 꿀이나 빨면서 여유롭게 살기 딱 좋지 않은가? 원작같은 건 다 떨쳐버리고 나의 삶을 사는거야!

그렇게 다짐했던 내가 이 몸에 빙의한지 얼마 되지 않아 목격한 것은 나의 약혼남이자 원작의 남주인공인 '황태자 이안'의 불륜 현장이었다. 

내가 아닌 다른 여자를 품에 안고 시시덕거리는 그를 보며 나는 눈물……따윈 개뿔, 나오지도 않더라. 내 눈물은 비싸서 저런 쓰레기에게 흘리기엔 아깝거든. 눈물 대신 깊은 빡침을 담은 목소리로 물었다.

""전하는 개자식인가요?""

고구마밭에 떨어진 역대급 사이다 여주! 환장하는 원작을 뒤집어 엎기위한 걸크러쉬 그녀!
이유? 여주가 똥차같은 남주들에게 휘둘리기엔 너무 아까웠거든.

원작 여주에게 꼬이는 똥차들을 치우는 그녀와, 그녀만을 바라보는 늑댕이 한마리의 이야기!",카카오페이지
16,불패검선,"FIST CAT,김찬영,적하",액션무협,"시골 객점의 아들 송우문.
어릴 적부터 몸이 약했던 그는
어느 날 노도사가 그려 주고 간
산수화를 보고 바보가 된다.

그렇게 동네에선 바보라 놀림받고
부모에겐 한심한 아들로 자라지만

스무 살이 되던 날!
각성과 함께 산수화 속 절대무공을 꽃피운다!",카카오페이지
17,롱리브더킹,버드나무숲,드라마,"한 여인을 위해 불가능에 도전하는 남자가 있다. 의리와 사랑을 빼고는 아무것도 없다고 말하는 남자 장세출! 사랑하는 여인 강소현을 위해, 목숨보다 더 소중한 친구 정춘택을 위해, 목포 건달 장세출은 대통령이라는 꿈에 도전한다.
[매주 월요일 연재]",카카오페이지
18,내가 죽이기로 했다,김찹쌀,드라마,"악한 범죄자들에게 약한 처벌은 정말 정당한 것인가?
그들의 손으로 앗아온 삶의 대가를 치뤄야 하는 게 아닐까? 
륜건은 마음 속에서 법에 대한 생각이 혼란스럽고 
이때  죄지은 자들을 손수 처리하는 성태를 만나게 되는데....",카카오페이지
